year,month,City,mean_temp,day_temp_abv30,rain,sun_time
2021,1,長崎,7.4,0,32,120.8
2021,2,長崎,10.3,0,58,144.7
2021,3,長崎,13.9,0,99,173.4
2021,4,長崎,16.7,0,140,193.9
2021,5,長崎,19.8,0,328,146
2021,6,長崎,23.7,4,174.5,162.4
2021,7,長崎,27.9,26,62,180.8
2021,8,長崎,27.3,21,935,160.1
2021,9,長崎,25.7,13,204.5,159.6
2021,10,長崎,21.1,7,10,220.1
2021,11,長崎,14.1,0,99,151
2021,12,長崎,9.2,0,61.5,108
2022,1,長崎,7.1,0,82,145.9
2022,2,長崎,6.5,0,19,125.7
2022,3,長崎,12.9,0,132,156.1
2022,4,長崎,16.4,0,171.5,211.8
2022,5,長崎,20,0,121,191.3
2022,6,長崎,23.9,5,248.5,166.4
2022,7,長崎,27.8,22,276,182.9
2022,8,長崎,28.6,28,371.5,208.7
2022,9,長崎,25.9,12,184,145.1
2022,10,長崎,19.9,2,52.5,209.3
2022,11,長崎,16.5,0,30,159.9
2022,12,長崎,7.8,0,54.5,112
2023,1,長崎,7.4,0,156,123.2
2023,2,長崎,9.2,0,77.5,128.6
2023,3,長崎,13.6,0,138.5,178.2
2023,4,長崎,16.9,0,224,183.7
2023,5,長崎,19.7,0,294,185.5
2023,6,長崎,23.7,4,332,129.1
2023,7,長崎,28,20,269.5,137.7
2023,8,長崎,29.2,29,237,232
2023,9,長崎,26.7,22,242,178
2023,10,長崎,19.8,0,51,211.6
2023,11,長崎,15.1,0,58,161.9
2023,12,長崎,10.2,0,55,89.8
2021,1,千葉,6,0,41,182.4
2021,2,千葉,9.2,0,60.5,218.9
2021,3,千葉,13.2,0,129.5,174
2021,4,千葉,15.3,0,115.5,223.7
2021,5,千葉,20,0,110,155.3
2021,6,千葉,22.8,1,114.5,142.7
2021,7,千葉,26,20,395,178.4
2021,8,千葉,27.7,23,263.5,193.6
2021,9,千葉,22.8,2,139,115.4
2021,10,千葉,18.8,0,209,167.7
2021,11,千葉,14.7,0,96.5,208.9
2021,12,千葉,8.7,0,160.5,208.9
2022,1,千葉,5.5,0,15.5,199.2
2022,2,千葉,5.9,0,72,204.7
2022,3,千葉,10.9,0,95,181.2
2022,4,千葉,15.3,0,226,161.7
2022,5,千葉,19,0,154,173.9
2022,6,千葉,22.8,7,88,171.3
2022,7,千葉,27.4,19,168.5,185.3
2022,8,千葉,27.7,22,178,163.1
2022,9,千葉,24.8,12,201,130.4
2022,10,千葉,17.9,0,101.5,129.5
2022,11,千葉,15.2,0,80,154.7
2022,12,千葉,8.4,0,48,170.1
2023,1,千葉,6.3,0,20,189.2
2023,2,千葉,7.8,0,38,166.6
2023,3,千葉,13.2,0,100.5,173.8
2023,4,千葉,16.7,0,54.5,199.5
2023,5,千葉,19.3,1,206,196.4
2023,6,千葉,23.5,5,253.5,145.6
2023,7,千葉,28.3,29,54.5,267.1
2023,8,千葉,29.4,31,62,258.4
2023,9,千葉,27.1,20,292.5,169.4
2023,10,千葉,19.7,1,110,206.9
2023,11,千葉,15.5,0,49.5,176.9
2023,12,千葉,10.2,0,27.5,195.9
2021,1,神奈川,6.2,0,46.5,185.3
2021,2,神奈川,9.1,0,97.5,227.4
2021,3,神奈川,13.2,0,219,191.1
2021,4,神奈川,15.2,0,155.5,218.5
2021,5,神奈川,19.6,0,113.5,162.6
2021,6,神奈川,22.7,2,113.5,148.5
2021,7,神奈川,26,20,368,189.5
2021,8,神奈川,27.5,24,274,191.7
2021,9,神奈川,22.6,1,197.5,115.2
2021,10,神奈川,18.7,0,209.5,171
2021,11,神奈川,14.3,0,127.5,208.7
2021,12,神奈川,8.8,0,134.5,206.3
2022,1,神奈川,5.5,0,21,191.8
2022,2,神奈川,5.8,0,59.5,197.7
2022,3,神奈川,11.3,0,103.5,194.7
2022,4,神奈川,15.4,0,255.5,173.5
2022,5,神奈川,19,0,177,180.1
2022,6,神奈川,22.9,7,87.5,172.8
2022,7,神奈川,27.1,22,210,187.8
2022,8,神奈川,27.6,22,146,173.1
2022,9,神奈川,24.7,9,305.5,158.2
2022,10,神奈川,17.9,0,123.5,133.3
2022,11,神奈川,15.2,0,104.5,164.3
2022,12,神奈川,8.4,0,64,183.8
2023,1,神奈川,6.4,0,16.5,191.7
2023,2,神奈川,7.9,0,41,171.9
2023,3,神奈川,13.2,0,140,169.4
2023,4,神奈川,16.6,0,95,204.9
2023,5,神奈川,19,1,220.5,208
2023,6,神奈川,23.2,5,333,149
2023,7,神奈川,28.2,28,47,278
2023,8,神奈川,29.1,31,110,262.8
2023,9,神奈川,26.9,18,148.5,185.5
2023,10,神奈川,19.5,1,134.5,210.6
2023,11,神奈川,15.2,0,57.5,173.8
2023,12,神奈川,10.2,0,33.5,204.4
2021,1,静岡,7.2,0,64.5,207.7
2021,2,静岡,10,0,96.5,213.1
2021,3,静岡,13.6,0,399,180.1
2021,4,静岡,15.6,0,221,220
2021,5,静岡,19.9,0,298,181.8
2021,6,静岡,22.8,0,218,160.6
2021,7,静岡,26.7,21,436,181.6
2021,8,静岡,27.6,23,247,184
2021,9,静岡,24.2,4,254.5,152.8
2021,10,静岡,20.1,1,94.5,175.2
2021,11,静岡,14.7,0,90,217.8
2021,12,静岡,9.5,0,92,229.7
2022,1,静岡,6.3,0,21,214.6
2022,2,静岡,6.7,0,55,219.2
2022,3,静岡,12.6,0,162.5,201.7
2022,4,静岡,16.2,0,320,155.1
2022,5,静岡,19.4,1,288,204
2022,6,静岡,23.1,9,208.5,154
2022,7,静岡,26.8,18,567,182.7
2022,8,静岡,28,25,418.5,173.5
2022,9,静岡,25.8,15,616.5,162
2022,10,静岡,19.1,2,87,163.2
2022,11,静岡,16.1,0,189.5,184
2022,12,静岡,8.9,0,33.5,225.7
2023,1,静岡,7.2,0,19.5,218.4
2023,2,静岡,9.2,0,56,171.7
2023,3,静岡,13.8,0,184,190.3
2023,4,静岡,16.6,0,225,215.6
2023,5,静岡,19.5,0,367.5,209.5
2023,6,静岡,23.3,4,569,117.3
2023,7,静岡,28,26,129,258.5
2023,8,静岡,28.8,30,344.5,243.3
2023,9,静岡,27.2,23,103.5,200.1
2023,10,静岡,19.5,1,174.5,221.1
2023,11,静岡,15.5,0,124,198.8
2023,12,静岡,10.3,0,86,214.7
2021,1,青森,-1.9,0,146.5,54.6
2021,2,青森,-0.7,0,97,65.2
2021,3,青森,5.4,0,98,140.7
2021,4,青森,9,0,80,215.3
2021,5,青森,14.4,0,125.5,174.5
2021,6,青森,19.4,0,28.5,252.3
2021,7,青森,23.9,8,66,244.5
2021,8,青森,23.5,9,154,148.7
2021,9,青森,19.8,0,55.5,214.8
